,Title,Genre,Premiere,Seasons,Metascore,imdbRating,imdbVotes,Title_from_OMDB,imdbID
497,Beasts of No Nation,War drama,"October 16, 2015",,79,7.7,"71,861",Beasts of No Nation,tt1365050
498,The Ridiculous 6,Western,"December 11, 2015",,18,4.8,"43,592",The Ridiculous 6,tt2479478
499,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Action,"February 26, 2016",,47,6.1,"17,403","Crouching Tiger, Hidden Dragon: Sword of Destiny",tt2652118
500,Pee-wee's Big Holiday,Adventure,"March 18, 2016",,63,6.1,"7,048",Pee-wee's Big Holiday,tt0837156
501,Special Correspondents,Satire,"April 29, 2016",,36,5.8,"20,154",Special Correspondents,tt4181052
502,The Do-Over,Action comedy,"May 27, 2016",,22,5.7,"39,016",The Do-Over,tt4769836
503,The Fundamentals of Caring,Comedy-drama,"June 24, 2016",,55,7.3,"56,050",The Fundamentals of Caring,tt2452386
504,Brahman Naman,Comedy,"July 7, 2016",,58,5.6,"1,615",Brahman Naman,tt5240748
505,Rebirth,Thriller,"July 15, 2016",,N/A,5.0,"4,194",Rebirth,tt4902716
506,Tallulah,Comedy-drama,"July 29, 2016",,63,6.7,"17,136",Tallulah,tt1639084
507,XOXO,Drama,"August 26, 2016",,N/A,5.3,"6,255",XOXO,tt4855748
508,ARQ,Science fiction/Thriller,"September 16, 2016",,N/A,6.4,"33,780",ARQ,tt5640450
509,The Siege of Jadotville,War,"October 7, 2016",,N/A,7.2,"30,411",The Siege of Jadotville,tt3922798
510,Mascots,Mockumentary,"October 13, 2016",,57,5.7,"6,627",Mascots,tt4936176
511,I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",,68,4.5,"12,269",I Am the Pretty Thing That Lives in the House,tt5059406
512,7 años,Drama,"October 28, 2016",,N/A,6.8,"4,102",7 Años,tt5517438
513,True Memoirs of an International Assassin,Action comedy,"November 11, 2016",,37,5.9,"19,659",True Memoirs of an International Assassin,tt1542768
514,Mercy,Thriller,"November 22, 2016",,N/A,5.0,"4,851",Mercy,tt2481496
515,Spectral,Science fiction/Action,"December 9, 2016",,N/A,6.3,"50,864",Spectral,tt2106651
516,Barry,Biopic,"December 16, 2016",,N/A,8.3,"41,644",Barry,tt5348176
517,Coin Heist,Heist film,"January 6, 2017",,N/A,4.8,"2,388",Coin Heist,tt5740806
518,Clinical,Thriller,"January 13, 2017",,N/A,5.1,"6,514",Clinical,tt5577742
519,Take the 10,Comedy,"January 20, 2017",,N/A,4.7,"2,716",Take the 10,tt5792472
520,iBoy,Science fiction/Thriller,"January 27, 2017",,50,6.0,"19,544",iBoy,tt3171832
521,Imperial Dreams,Drama,"February 3, 2017",,67,6.7,"3,948",Imperial Dreams,tt3331028
522,Girlfriend's Day,Comedy,"February 14, 2017",,N/A,5.2,"3,365",Girlfriend's Day,tt2962984
523,I Don't Feel at Home in This World Anymore,Drama,"February 24, 2017",,75,6.9,"46,128",I Don't Feel at Home in This World Anymore.,tt5710514
524,Burning Sands,Drama,"March 10, 2017",,63,6.0,"2,534",Burning Sands,tt5826432
525,Deidra & Laney Rob a Train,Drama,"March 17, 2017",,65,6.1,"1,576",Deidra & Laney Rob a Train,tt4144332
526,The Most Hated Woman in America,Biopic,"March 24, 2017",,41,6.1,"5,160",The Most Hated Woman in America,tt4842646
527,The Discovery,Science fiction/Drama,"March 31, 2017",,54,6.3,"28,961",The Discovery,tt5155780
528,Win It All,Comedy,"April 7, 2017",,77,6.2,"7,952",Win It All,tt3155328
529,Sandy Wexler,Comedy,"April 14, 2017",,40,5.2,"14,101",Sandy Wexler,tt5893332
530,Sand Castle,War film,"April 21, 2017",,45,6.3,"18,611",Sand Castle,tt2582576
531,Tramps,Romance,"April 21, 2017",,76,6.5,"4,402",Tramps,tt4991512
532,Small Crimes,Dark comedy,"April 28, 2017",,60,5.8,"6,598",Small Crimes,tt5717492
533,Handsome: A Netflix Mystery Movie,Comedy,"May 5, 2017",,N/A,5.2,"3,869",Handsome: A Netflix Mystery Movie,tt5809020
534,Blame!,Anime/Science fiction,"May 20, 2017",,N/A,6.7,"6,764",Blame!,tt6574146
535,War Machine,War-Comedy,"May 26, 2017",,56,6.0,"40,688",War Machine,tt4758646
536,Shimmer Lake,Crime thriller,"June 9, 2017",,N/A,6.2,"11,015",Shimmer Lake,tt1386691
537,Okja,Action-adventure,"June 28, 2017",,75,7.3,"100,820",Okja,tt3967856
538,To the Bone,Drama,"July 14, 2017",,64,6.8,"38,750",To the Bone,tt5541240
539,The Incredible Jessica James,Comedy,"July 28, 2017",,72,6.5,"6,142",The Incredible Jessica James,tt5990342
540,Naked,Comedy,"August 11, 2017",,84,7.8,"33,573",Naked,tt0107653
541,Death Note,Horror thriller,"August 25, 2017",,N/A,9.0,"220,161",Death Note,tt0877057
542,Little Evil,Comedy horror,"September 1, 2017",,N/A,5.7,"18,262",Little Evil,tt2937366
543,#REALITYHIGH,Comedy,"September 8, 2017",,,,,,
544,First They Killed My Father,Drama,"September 15, 2017",,72,7.2,"14,775",First They Killed My Father,tt4882376
545,Gerald's Game,Horror thriller,"September 29, 2017",,77,6.6,"85,311",Gerald's Game,tt3748172
546,Our Souls at Night,Romance,"September 29, 2017",,69,6.9,"10,716",Our Souls at Night,tt5034266
547,Bomb Scared,Black comedy,"October 12, 2017",,N/A,5.6,"2,530",Bomb Scared,tt6895746
548,The Babysitter,Teen comedy horror,"October 13, 2017",,N/A,6.3,"67,475",The Babysitter,tt4225622
549,The Meyerowitz Stories (New and Selected),Comedy-drama,"October 13, 2017",,,,,,
550,1922,Horror/crime drama,"October 20, 2017",,70,6.3,"50,011",1922,tt6214928
551,Wheelman,Action thriller,"October 20, 2017",,66,6.4,"17,003",Wheelman,tt5723286
552,The Killer,Western,"November 10, 2017",,82,7.8,"45,074",The Killer,tt0097202
553,A Christmas Prince,Romantic comedy,"November 17, 2017",,N/A,5.8,"15,254",A Christmas Prince,tt7608418
554,El Camino Christmas,Dark comedy,"December 8, 2017",,N/A,5.7,"7,022",El Camino Christmas,tt3255590
555,Christmas Inheritance,Romantic drama,"December 15, 2017",,N/A,5.7,"8,457",Christmas Inheritance,tt7608534
556,Bright,Urban fantasy,"December 22, 2017",,29,6.3,"165,226",Bright,tt5519340
557,The Polka King,Comedy-drama,"January 12, 2018",,65,5.9,"8,226",The Polka King,tt5539052
558,Step Sisters,Comedy,"January 19, 2018",,N/A,5.4,"3,949",Step Sisters,tt5267472
559,The Open House,Horror thriller,"January 19, 2018",,N/A,3.2,"30,074",The Open House,tt7608028
560,Blockbuster,Romantic comedy,"January 24, 2018",,N/A,3.8,651,Blockbuster,tt2998526
561,A Futile and Stupid Gesture,Biographical/Comedy,"January 26, 2018",,55,6.8,"13,149",A Futile and Stupid Gesture,tt5566790
562,The Cloverfield Paradox,Science fiction,"February 4, 2018",,37,5.5,"93,345",The Cloverfield Paradox,tt2548396
563,When We First Met,Romantic comedy,"February 9, 2018",,36,6.4,"40,968",When We First Met,tt5783956
564,Love per Square Foot,Romantic comedy,"February 14, 2018",,N/A,7.2,"6,908",Love Per Square Foot,tt7853242
565,Irreplaceable You,Drama,"February 16, 2018",,34,6.4,"7,845",Irreplaceable You,tt6119856
566,Mute,Science fiction/Mystery,"February 23, 2018",,35,5.4,"29,905",Mute,tt1464763
567,The Outsider,Crime drama,"March 9, 2018",,N/A,7.8,"54,923",The Outsider,tt8550800
568,Benji,Family film,"March 16, 2018",,35,6.2,"4,333",Benji,tt0071206
569,"Game Over, Man!",Action/Comedy,"March 23, 2018",,32,5.4,"25,468","Game Over, Man!",tt3317234
570,Paradox,Musical/Western/Fantasy,"March 23, 2018",,N/A,6.5,"3,111",Paradox,tt7245176
571,Roxanne Roxanne,Biopic,"March 23, 2018",,74,6.2,"2,644",Roxanne Roxanne,tt5796838
572,Happy Anniversary,Romantic comedy,"March 30, 2018",,N/A,5.7,"3,655",Happy Anniversary,tt6423886
573,First Match,Sports-drama,"March 30, 2018",,68,6.3,"1,835",First Match,tt6061074
574,6 Balloons,Drama,"April 6, 2018",,66,5.8,"3,489",6 Balloons,tt6142496
575,Amateur,Sports-drama,"April 6, 2018",,53,6.9,"5,401",Amateur,tt0109093
576,Come Sunday,Biopic,"April 13, 2018",,65,6.0,"1,912",Come Sunday,tt1690967
577,I Am Not an Easy Man,Romantic comedy,"April 13, 2018",,N/A,6.3,"11,659",I Am Not an Easy Man,tt6857988
578,Dude,Teen comedy-drama,"April 20, 2018",,N/A,5.1,"6,099",Dude,tt3458510
579,Candy Jar,Comedy,"April 27, 2018",,N/A,5.8,"4,180",Candy Jar,tt6744044
580,The Week Of,Comedy,"April 27, 2018",,41,5.1,"17,824",The Week Of,tt6821012
581,Sometimes,Drama,"May 1, 2018",,N/A,7.2,599,Sometimes,tt5877882
582,Forgive Us Our Debts,Drama,"May 4, 2018",,N/A,6.0,"1,294",Forgive Us Our Debts,tt6679412
583,The Kissing Booth,Romantic comedy,"May 11, 2018",,N/A,6.0,"62,649",The Kissing Booth,tt3799232
584,Cargo,Drama/Horror,"May 18, 2018",,65,6.3,"34,831",Cargo,tt3860916
585,Ibiza,Comedy,"May 25, 2018",,56,5.2,"15,220",Ibiza,tt3685236
586,Alex Strangelove,Romantic comedy,"June 8, 2018",,62,6.3,"14,048",Alex Strangelove,tt5688996
587,Set It Up,Romantic comedy,"June 15, 2018",,62,6.5,"40,489",Set It Up,tt5304992
588,Lust Stories,Drama,"June 15, 2018",,N/A,6.5,"9,261",Lust Stories,tt8439854
589,"To Each, Her Own",Romantic comedy,"June 24, 2018",,N/A,5.2,"1,064","To Each, Her Own",tt6290418
590,Calibre,Thriller,"June 29, 2018",,76,6.7,"19,410",Calibre,tt6218358
591,TAU,Science fiction thriller,"June 29, 2018",,43,5.8,"25,686",Tau,tt4357394
592,The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,"July 6, 2018",,49,5.5,"3,371",The Legacy of a Whitetail Deer Hunter,tt4762824
593,How It Ends,Action thriller,"July 13, 2018",,36,5.0,"43,523",How It Ends,tt5246700
594,Father of the Year,Comedy,"July 20, 2018",,32,5.2,"9,684",Father of the Year,tt7256866
595,Extinction,Science fiction-thriller,"July 27, 2018",,40,5.8,"44,832",Extinction,tt3201640
596,Brij Mohan Amar Rahe,Comedy,"August 3, 2018",,,,,,
597,Like Father,Comedy,"August 3, 2018",,52,6.1,"18,003",Like Father,tt7170950
598,The Package,Black comedy,"August 10, 2018",,N/A,5.5,"13,420",The Package,tt7525778
599,To All the Boys I've Loved Before,Romantic comedy,"August 17, 2018",,64,7.1,"82,717",To All the Boys I've Loved Before,tt3846674
600,The After Party,Comedy,"August 24, 2018",,N/A,5.8,"3,561",The After Party,tt3960240
601,Sierra Burgess Is a Loser,Romantic comedy-drama,"September 7, 2018",,60,5.8,"33,552",Sierra Burgess Is a Loser,tt3120280
602,The Most Assassinated Woman in the World,Thriller,"September 7, 2018",,N/A,5.3,891,The Most Assassinated Woman in the World,tt6186696
603,Next Gen,Animation/Action/Science fiction,"September 7, 2018",,N/A,6.6,"13,504",Next Gen,tt7133686
604,On My Skin,Crime drama,"September 12, 2018",,N/A,N/A,N/A,On My Skin,tt0831859
605,The Land of Steady Habits,Drama,"September 14, 2018",,71,6.2,"5,955",The Land of Steady Habits,tt6485928
606,The Angel,Spy thriller,"September 14, 2018",,N/A,6.6,"11,323",The Angel,tt5968274
607,Nappily Ever After,Comedy-drama,"September 21, 2018",,63,6.4,"7,670",Nappily Ever After,tt0365545
608,Hold the Dark,Thriller,"September 28, 2018",,63,5.6,"32,211",Hold the Dark,tt5057140
609,Private Life,Drama,"October 5, 2018",,83,7.2,"14,765",Private Life,tt5536610
610,22-Jul,Drama,"October 10, 2018",,,,,,
611,Apostle,Horror-thriller,"October 12, 2018",,62,6.3,"40,810",Apostle,tt6217306
612,The Night Comes for Us,Action-thriller,"October 19, 2018",,69,7.0,"20,187",The Night Comes for Us,tt6116856
613,Been So Long,Musical,"October 26, 2018",,74,5.4,798,Been So Long,tt1682886
614,The Holiday Calendar,Romantic comedy,"November 2, 2018",,N/A,5.7,"7,197",The Holiday Calendar,tt8262802
615,The Other Side of the Wind,Drama,"November 2, 2018",,78,6.8,"5,960",The Other Side of the Wind,tt0069049
616,Outlaw King,Historical-epic,"November 9, 2018",,59,6.9,"57,337",Outlaw King,tt6679794
617,The Princess Switch,Romantic comedy,"November 16, 2018",,N/A,6.0,"18,388",The Princess Switch,tt8954732
618,Cam,Psychological horror,"November 16, 2018",,71,5.9,"24,573",Cam,tt8361028
619,The Ballad of Buster Scruggs,Western,"November 16, 2018",,79,7.3,"116,414",The Ballad of Buster Scruggs,tt6412452
620,The Christmas Chronicles,Family film,"November 22, 2018",,52,7.1,"42,987",The Christmas Chronicles,tt2990140
621,A Christmas Prince: The Royal Wedding,Romantic comedy,"November 30, 2018",,N/A,5.3,"7,954",A Christmas Prince: The Royal Wedding,tt8709036
622,Rajma Chawal,Comedy-drama,"November 30, 2018",,N/A,5.7,"1,430",Rajma Chawal,tt6747420
623,5 Star Christmas,Comedy,"December 7, 2018",,,,,,
624,Mowgli: Legend of the Jungle,Adventure,"December 7, 2018",,51,6.5,"55,066",Mowgli: Legend of the Jungle,tt2388771
625,Roma,Drama,"December 14, 2018",,96,7.7,"135,789",Roma,tt6155172
626,Bird Box,Psychological thriller,"December 21, 2018",,51,6.6,"269,696",Bird Box,tt2737304
627,Lionheart,Comedy,"January 4, 2019",,41,6.2,"32,318",Lionheart,tt0100029
628,The Last Laugh,Comedy-drama,"January 11, 2019",,N/A,8.1,"12,293",The Last Laugh,tt0015064
629,IO,Science fiction/drama,"January 18, 2019",,40,4.7,"30,109",IO,tt3256226
630,Soni,Crime drama,"January 18, 2019",,68,7.2,"2,135",Soni,tt6078866
631,Polar,Action,"January 25, 2019",,19,6.3,"71,733",Polar,tt4139588
632,Velvet Buzzsaw,Thriller,"February 1, 2019",,61,5.7,"52,121",Velvet Buzzsaw,tt7043012
633,High Flying Bird,Sports-drama,"February 8, 2019",,78,6.2,"7,259",High Flying Bird,tt8128188
634,Firebrand,Drama,"February 22, 2019",,N/A,5.1,229,Firebrand,tt8852536
635,Paris Is Us,Romance drama,"February 22, 2019",,N/A,4.6,"1,192",Paris Is Us,tt7920024
636,Paddleton,Drama-Comedy,"February 22, 2019",,70,7.2,"10,191",Paddleton,tt8041276
637,Walk. Ride. Rodeo.,Drama,"March 8, 2019",,N/A,6.4,"1,799",Walk. Ride. Rodeo.,tt5848416
638,Juanita,Drama,"March 8, 2019",,N/A,5.9,"1,998",Juanita,tt6155456
639,Triple Frontier,Action-thriller,"March 13, 2019",,61,6.4,"103,545",Triple Frontier,tt1488606
640,The Dirt,Biopic,"March 22, 2019",,39,7.0,"38,042",The Dirt,tt0800325
641,The Highwaymen,Crime drama,"March 29, 2019",,58,6.9,"70,708",The Highwaymen,tt1860242
642,15-Aug,Comedy-drama,"March 29, 2019",,,,,,
643,Unicorn Store,Comedy,"April 5, 2019",,44,5.5,"16,890",Unicorn Store,tt2338454
644,Who Would You Take to a Deserted Island?,Drama,"April 12, 2019",,N/A,5.3,"2,052",Who Would You Take to a Deserted Island?,tt8976832
645,The Perfect Date,Romantic comedy,"April 12, 2019",,N/A,5.8,"30,949",The Perfect Date,tt8201170
646,Someone Great,Romantic comedy,"April 19, 2019",,63,6.2,"16,746",Someone Great,tt8075260
647,Music Teacher,Drama,"April 19, 2019",,N/A,6.3,478,Music Teacher,tt3257794
648,Despite Everything,Comedy,"May 3, 2019",,N/A,5.3,"3,930",Despite Everything,tt9150970
649,The Last Summer,Romantic comedy,"May 3, 2019",,N/A,5.6,"10,505",The Last Summer,tt7957694
650,Wine Country,Comedy,"May 10, 2019",,56,5.4,"17,983",Wine Country,tt8169446
651,Good Sam,Drama,"May 16, 2019",,N/A,5.7,"2,280",Good Sam,tt9032888
652,See You Yesterday,Science fiction,"May 17, 2019",,74,5.1,"8,545",See You Yesterday,tt8743064
653,Rim of the World,Science fiction adventure,"May 24, 2019",,N/A,5.2,"17,810",Rim of the World,tt8179388
654,The Perfection,Horror-thriller,"May 24, 2019",,60,6.1,"33,928",The Perfection,tt7772580
655,Always Be My Maybe,Romantic comedy,"May 31, 2019",,64,6.8,"44,136",Always Be My Maybe,tt7374948
656,Chopsticks,Comedy,"May 31, 2019",,N/A,6.5,"3,869",Chopsticks,tt10243678
657,Elisa & Marcela,Romance,"June 7, 2019",,N/A,8.9,10,Elisa,tt1948156
658,Murder Mystery,Comedy mystery,"June 14, 2019",,38,6.0,"96,357",Murder Mystery,tt1618434
659,Beats,Drama,"June 19, 2019",,N/A,6.4,"3,997",Beats,tt8530978
660,Point Blank,Action,"July 12, 2019",,86,7.3,"18,058",Point Blank,tt0062138
661,Secret Obsession,Thriller,"July 18, 2019",,N/A,4.3,"17,325",Secret Obsession,tt9419834
662,The Red Sea Diving Resort,Spy thriller,"July 31, 2019",,N/A,6.6,"21,194",The Red Sea Diving Resort,tt4995776
663,Otherhood,Comedy,"August 2, 2019",,38,6.1,"8,697",Otherhood,tt4180560
664,Sextuplets,Comedy,"August 16, 2019",,21,4.4,"6,778",Sextuplets,tt8976710
665,Falling Inn Love,Romantic comedy,"August 29, 2019",,N/A,5.6,"14,306",Falling Inn Love,tt9860728
666,Back to School,Comedy,"August 30, 2019",,68,6.7,"27,497",Back to School,tt0090685
667,Tall Girl,Comedy-drama,"September 13, 2019",,N/A,5.2,"16,403",Tall Girl,tt9252508
668,Between Two Ferns: The Movie,Comedy,"September 20, 2019",,59,6.1,"25,328",Between Two Ferns: The Movie,tt9398640
669,In the Shadow of the Moon,Thriller,"September 27, 2019",,48,6.2,"37,844",In the Shadow of the Moon,tt8110640
670,In the Tall Grass,Horror,"October 4, 2019",,46,5.4,"43,541",In the Tall Grass,tt4687108
671,El Camino: A Breaking Bad Movie,Crime drama,"October 11, 2019",,72,7.3,"174,492",El Camino: A Breaking Bad Movie,tt9243946
672,Fractured,Thriller,"October 11, 2019",,36,6.4,"49,884",Fractured,tt4332232
673,The Forest of Love,Drama,"October 11, 2019",,N/A,6.3,"1,591",The Forest of Love,tt10589914
674,Street Flow,Drama,"October 12, 2019",,N/A,6.4,"1,106",Street Flow,tt10958282
675,Eli,Horror,"October 18, 2019",,N/A,5.7,"27,429",Eli,tt5294518
676,Seventeen,Coming-of-age comedy-drama,"October 18, 2019",,N/A,7.2,"2,889",Seventeen,tt8988748
677,The Laundromat,Comedy-drama,"October 18, 2019",,57,6.3,"41,503",The Laundromat,tt5865326
678,Upstarts,Drama,"October 18, 2019",,N/A,6.6,504,Upstarts,tt11066130
679,Dolemite Is My Name,Biopic,"October 25, 2019",,76,7.3,"50,159",Dolemite Is My Name,tt8526872
680,Rattlesnake,Horror,"October 25, 2019",,N/A,4.6,"7,080",Rattlesnake,tt9257484
681,The King,Historical drama,"November 1, 2019",,62,7.2,"82,016",The King,tt7984766
